Brand,Model,Storage,category,marketplace,link,priceInitial,pricePromo,promotionType,collectionTime
Apple,iPad Air 11,128GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-016D7,6599.5,N/A,Aucune,2025-01-31 00:58:01
Samsung,Galaxy Tab A7,32GB,Tablette,Newegg,https://www.newegg.com/p/2WC-001T-00049,1399.9,N/A,Aucune,2025-01-31 00:58:23
Samsung,Galaxy Tab A,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-004P9,2711.1,N/A,Aucune,2025-01-31 00:58:23
Apple,iPad Air 10,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-01229,4960.1,N/A,Aucune,2025-01-31 00:58:23
Apple,iPad Pro,256GB,Tablette,Newegg,https://www.newegg.com/apple-mnxt3ll-a-ipad-pro-silver/p/24W-0002-00YS0,8799.9,N/A,Aucune,2025-01-31 00:58:23
Apple,iPad 7th,32GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00SY6,1330.0,N/A,Aucune,2025-01-31 00:58:23
SAMSUNG,Galaxy Tab A,8GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-001E8,649.9,N/A,Aucune,2025-01-31 00:58:23
Apple,iPad 8,32GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-018D8,1649.7,N/A,Aucune,2025-01-31 00:58:23
Apple,iPad MD510LL,16GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00UT0,590.0,N/A,Aucune,2025-01-31 00:58:23
Apple,iPad 6,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001B-00F96,2299.9,1499.9,34%,2025-01-31 00:58:23
SAMSUNG,Galaxy Tab S9,256GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00B12,4390.0,N/A,Aucune,2025-01-31 00:58:23
Samsung,Galaxy Tab A9,64GB,Tablette,Newegg,https://www.newegg.com/p/26J-05F1-00028,1869.9,N/A,Aucune,2025-01-31 00:58:23
Apple,iPad Pro,256GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-017Y1,6980.0,N/A,Aucune,2025-01-31 00:58:23
Apple,iPad 9th,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00SZ0,2349.9,N/A,Aucune,2025-01-31 00:58:23
Apple,iPad 7th,32GB,Tablette,Newegg,https://www.newegg.com/a2197-apple-ipad-10-2-7th-gen-32gb-space-gray/p/24W-0002-00WE3,1490.0,N/A,Aucune,2025-01-31 00:58:23
SAMSUNG,Galaxy Tab A8,64GB,Tablette,Newegg,https://www.newegg.com/samsung-sm-x200nidexar-galaxy-tab-a8-pink-gold/p/N82E16834132487,0.0,N/A,Aucune,2025-01-31 00:58:23
Apple,iPad mini,128GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00D77,1299.9,N/A,Aucune,2025-01-31 00:58:23
Apple,iPad Pro,512GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-016E3,15799.5,N/A,Aucune,2025-01-31 00:58:23
Samsung,Galaxy Tab S6,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-007W7,1990.0,N/A,Aucune,2025-01-31 00:58:23
Apple,iPad 7,128GB,Tablette,Newegg,https://www.newegg.com/apple-mw772ll-a-ipad-7-space-gray/p/N82E16858752586,1989.9,N/A,Aucune,2025-01-31 00:58:23
Samsung,Galaxy Tab A7,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BD0,1029.9,N/A,Aucune,2025-01-31 00:58:23
Samsung,Galaxy Tab S9,256GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00AW9,6890.0,N/A,Aucune,2025-01-31 00:58:23
Samsung,Galaxy Tab 9,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BU1,1199.9,N/A,Aucune,2025-01-31 00:58:41
SAMSUNG,Galaxy Tab A8,32GB,Tablette,Newegg,https://www.newegg.com/samsung-sm-x200nidaxar-galaxy-tab-a8-pink-gold/p/N82E16834132486,0.0,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad Air,32GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-01861,999.7,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad Mini,128GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00ZY0,1470.0,N/A,Aucune,2025-01-31 00:58:41
Samsung,Galaxy Tab S9,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00AZ7,5999.9,4790.0,20%,2025-01-31 00:58:41
Apple,iPad 7,32GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-018B7,1549.7,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad 7,32GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-018B8,1499.7,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad Pro,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001B-005M4,2560.1,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad 10,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00YS2,3290.0,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad mini,32GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-019T6,899.7,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad Pro,256GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001B-005N5,2319.8,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad Pro,256GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00PT8,4899.9,N/A,Aucune,2025-01-31 00:58:41
SAMSUNG,Galaxy Tab S6,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BR4,2819.9,N/A,Aucune,2025-01-31 00:58:41
Lenovo,Tab M10,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-003H5,1099.9,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad Air 10,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-01271,3599.9,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad 8th,128GB,Tablette,Newegg,https://www.newegg.com/apple-a2270-ipad-8th-gen-gray/p/24W-0002-01415,2119.9,N/A,Aucune,2025-01-31 00:58:41
Lenovo,Tab M11,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-00632,1097.1,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad Mini,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001B-008S7,2300.0,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad Mini,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001B-008J3,2290.0,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad 10,32GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-019B2,1541.6,N/A,Aucune,2025-01-31 00:58:41
Samsung,Galaxy Tab S9,128GB,Tablette,Newegg,https://www.newegg.com/samsung-s9-fe-tab-gray/p/N82E16834132543,5341.0,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad 4,16GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001B-001W0,590.0,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad 9,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001B-00E94,1399.9,N/A,Aucune,2025-01-31 00:58:41
Apple,iPad 9th,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00YX5,2255.7,N/A,Aucune,2025-01-31 00:58:41
Samsung,Galaxy Tab Active5,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BT1,4719.9,N/A,Aucune,2025-01-31 00:58:41
Samsung,Galaxy Tab A7,32GB,Tablette,Newegg,https://www.newegg.com/samsung-sm-t220nzabxar-tab-a7-lite-8-7-gray/p/0EJ-000P-008Z4,799.9,N/A,Aucune,2025-01-31 00:58:41
Samsung,Galaxy Tab A,8GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-009Z7,570.0,N/A,Aucune,2025-01-31 00:58:51
Samsung,Galaxy Tab S6,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BS9,3302.2,N/A,Aucune,2025-01-31 00:58:51
Samsung,Galaxy Tab A9,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BX1,1970.0,N/A,Aucune,2025-01-31 00:58:51
Apple,iPad 7,128GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-017M2,1749.7,N/A,Aucune,2025-01-31 00:58:51
Samsung,Galaxy Tab A8,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-009M6,2299.9,N/A,Aucune,2025-01-31 00:58:51
Samsung,Galaxy Tab A,8GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-004C5,0.0,N/A,Aucune,2025-01-31 00:58:51
Apple,iPad 8th,128GB,Tablette,Newegg,https://www.newegg.com/apple-a2428-ipad-8th-gen-gray/p/24W-0002-010W9,2499.9,N/A,Aucune,2025-01-31 00:58:51
Samsung,Galaxy Tab A9,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00B80,1930.1,N/A,Aucune,2025-01-31 00:58:51
Apple,iPad Mini,256GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-01525,5599.9,N/A,Aucune,2025-01-31 00:58:51
Apple,iPad 10,32GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-011U5,1390.0,N/A,Aucune,2025-01-31 00:58:51
Apple,iPad Pro,256GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-016F3,10649.5,N/A,Aucune,2025-01-31 00:58:51
Apple,iPad Pro,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-01813,3549.7,N/A,Aucune,2025-01-31 00:58:51
Lenovo,Tab M11,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-005X3,1962.2,N/A,Aucune,2025-01-31 00:58:51
SAMSUNG,Galaxy Tab A8,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-009Z1,3180.0,N/A,Aucune,2025-01-31 00:58:51
Apple,iPad Mini,256GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-013A4,3490.0,N/A,Aucune,2025-01-31 00:58:51
Samsung,Galaxy Tab S9,256GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00AW7,7809.9,N/A,Aucune,2025-01-31 00:58:51
Samsung,Galaxy Tab A9,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BU4,1454.9,N/A,Aucune,2025-01-31 00:58:51
SAMSUNG,Galaxy Tab S6,64GB,Tablette,Newegg,https://www.newegg.com/sm-p613nzamxar-samsung-galaxy-tab-s6-lite-oxford-gray/p/0EJ-000P-00A60,2159.9,N/A,Aucune,2025-01-31 00:58:51
Apple,iPad Mini,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001B-008D8,1530.0,N/A,Aucune,2025-01-31 00:58:51
Samsung,Galaxy Tab S10,512GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BV1,12676.6,N/A,Aucune,2025-01-31 00:58:51
Apple,iPad 5th,128GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00ZC1,1690.0,N/A,Aucune,2025-01-31 00:58:51
Samsung,Galaxy Tab S10,256GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BW7,11044.0,N/A,Aucune,2025-01-31 00:58:51
Apple,iPad 8th,32GB,Tablette,Newegg,https://www.newegg.com/p/N82E16858752787,2639.9,N/A,Aucune,2025-01-31 00:59:13
Samsung,Galaxy Tab S6,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00896,2290.0,N/A,Aucune,2025-01-31 00:59:13
Apple,iPad Pro,128GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-017K6,6870.0,N/A,Aucune,2025-01-31 00:59:13
Apple,iPad 6th,32GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00R34,1299.9,N/A,Aucune,2025-01-31 00:59:13
Apple,iPad Air 10,256GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-01239,5290.0,N/A,Aucune,2025-01-31 00:59:13
Samsung,Galaxy Tab S3,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-008E9,1099.9,N/A,Aucune,2025-01-31 00:59:13
Lenovo,Tab M8,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-005K9,1849.9,N/A,Aucune,2025-01-31 00:59:13
Apple,iPad mini,128GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00YB1,1799.9,N/A,Aucune,2025-01-31 00:59:13
Samsung,Galaxy Tab A,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-008T9,749.9,N/A,Aucune,2025-01-31 00:59:13
Apple,iPad Pro,256GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-016G7,10649.5,N/A,Aucune,2025-01-31 00:59:13
Apple,iPad Air 2,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00B12,1099.5,N/A,Aucune,2025-01-31 00:59:13
Apple,iPad Air 4,64GB,Tablette,Newegg,https://www.newegg.com/apple-a2316-ipad-air-4-gray/p/24W-0002-00ZV7,4380.0,N/A,Aucune,2025-01-31 00:59:13
Apple,iPad 9th,64GB,Tablette,Newegg,https://www.newegg.com/apple-a2603-ipad-9th-gen-silver/p/24W-0002-014N9,2499.9,N/A,Aucune,2025-01-31 00:59:13
Apple,iPad 5,32GB,Tablette,Newegg,https://www.newegg.com/apple-ipad5sg32beats-ipad-5-space-gray/p/N82E16858752635,2399.9,1239.9,48%,2025-01-31 00:59:13
Apple,iPad Mini,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00R99,1390.0,N/A,Aucune,2025-01-31 00:59:13
Apple,iPad Pro,128GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00PU4,4550.0,N/A,Aucune,2025-01-31 00:59:13
Apple,iPad 6,128GB,Tablette,Newegg,https://www.newegg.com/apple-ipad-6-ipad-series-space-gray/p/24W-0002-00Z50,1599.9,N/A,Aucune,2025-01-31 00:59:13
Apple,iPad Pro,256GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-016F4,14249.5,N/A,Aucune,2025-01-31 00:59:21
Lenovo,Tab M10,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-00529,2189.9,N/A,Aucune,2025-01-31 00:59:21
Apple,iPad 7,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001B-00FA4,3499.9,2199.9,37%,2025-01-31 00:59:21
Samsung,Galaxy Tab A9,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BG0,2490.0,N/A,Aucune,2025-01-31 00:59:21
Samsung,Galaxy Tab A7,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-008B2,1524.9,N/A,Aucune,2025-01-31 00:59:21
SAMSUNG,Galaxy Tab S9,256GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00B11,4290.0,N/A,Aucune,2025-01-31 00:59:21
Samsung,Galaxy Tab Active4,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-009Z4,5902.4,N/A,Aucune,2025-01-31 00:59:21
Apple,iPad 9,128GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-011X8,1799.9,N/A,Aucune,2025-01-31 00:59:21
Apple,iPad Air 11,128GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-016C3,6849.5,N/A,Aucune,2025-01-31 00:59:21
Apple,iPad Air,16GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-01888,899.7,N/A,Aucune,2025-01-31 00:59:21
Apple,iPad mini,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-008H1,1399.9,N/A,Aucune,2025-01-31 00:59:21
Samsung,Galaxy TAB S5e,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BN8,1679.9,N/A,Aucune,2025-01-31 00:59:21
Lenovo,Tab M8,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-00583,619.9,N/A,Aucune,2025-01-31 00:59:21
Lenovo,Tab M9,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-005G3,1549.9,N/A,Aucune,2025-01-31 00:59:21
Samsung,Galaxy Tab A8,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00A58,2790.0,N/A,Aucune,2025-01-31 00:59:21
Samsung,Galaxy Tab A7,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-007N0,1690.0,N/A,Aucune,2025-01-31 00:59:21
Apple,iPad Mini,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-01386,3599.9,N/A,Aucune,2025-01-31 00:59:21
SAMSUNG,Galaxy Tab S9,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00AZ8,4790.0,N/A,Aucune,2025-01-31 00:59:21
Apple,iPad Mini,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00ZY4,2369.9,N/A,Aucune,2025-01-31 00:59:21
Samsung,Galaxy Tab S9,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00AW8,7999.9,6843.3,14%,2025-01-31 00:59:21
Samsung,Galaxy Tab Active4,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00A27,7448.5,N/A,Aucune,2025-01-31 00:59:21
SAMSUNG,Galaxy Tab S9,512GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00AX9,9200.0,N/A,Aucune,2025-01-31 00:59:21
SAMSUNG,Galaxy Tab S9,512GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00AX8,9069.9,N/A,Aucune,2025-01-31 00:59:21
SAMSUNG,Galaxy Tab A8,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-009W6,2090.0,N/A,Aucune,2025-01-31 00:59:21
SAMSUNG,Galaxy Tab S6,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BR7,3399.9,N/A,Aucune,2025-01-31 00:59:21
Apple,iPad Pro,128GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00FM3,2760.0,N/A,Aucune,2025-01-31 00:59:31
Apple,iPad 6th,32GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00FJ4,1199.9,N/A,Aucune,2025-01-31 00:59:31
Apple,iPad 10,32GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-011U9,1899.9,N/A,Aucune,2025-01-31 00:59:31
Apple,iPad mini,128GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-00W67,1699.9,N/A,Aucune,2025-01-31 00:59:31
Samsung,Galaxy Tab Active4,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00A15,6902.8,N/A,Aucune,2025-01-31 00:59:31
Samsung,Galaxy Tab S9,12GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00AX4,11141.4,N/A,Aucune,2025-01-31 00:59:31
Samsung,Galaxy Tab S10,256GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00BV2,11524.2,N/A,Aucune,2025-01-31 00:59:31
Apple,iPad 5,32GB,Tablette,Newegg,https://www.newegg.com/apple-mp2f2ll-a-ipad-5-space-gray/p/N82E16858752636,1999.9,1339.9,33%,2025-01-31 00:59:31
Samsung,Galaxy Tab S8,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00A54,8939.8,N/A,Aucune,2025-01-31 00:59:31
Lenovo,Tab M9,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-005B9,1799.9,N/A,Aucune,2025-01-31 00:59:31
SAMSUNG,Galaxy Tab S8,256GB,Tablette,Newegg,https://www.newegg.com/samsung-sm-x700nidbxar-galaxy-tab-s8-pink-gold/p/N82E16834132494,7799.9,N/A,Aucune,2025-01-31 00:59:31
Apple,iPad Mini,64GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-01584,4371.4,N/A,Aucune,2025-01-31 00:59:31
Samsung,Galaxy Tab S9,128GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00AZ9,4869.9,N/A,Aucune,2025-01-31 00:59:31
SAMSUNG,Galaxy Tab A8,64GB,Tablette,Newegg,https://www.newegg.com/samsung-sm-x200nzaexar-galaxy-tab-a8-dark-gray/p/N82E16834132484,1799.9,N/A,Aucune,2025-01-31 00:59:31
Samsung,Galaxy Tab A7,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00673,0.0,N/A,Aucune,2025-01-31 00:59:31
SAMSUNG,Galaxy Tab S8,128GB,Tablette,Newegg,https://www.newegg.com/samsung-sm-x700nzaaxar-galaxy-tab-s8-dark-gray/p/N82E16834132489,0.0,N/A,Aucune,2025-01-31 00:59:31
SAMSUNG,Galaxy Tab A8,128GB,Tablette,Newegg,https://www.newegg.com/samsung-sm-x200nzafxar-galaxy-tab-a8-dark-gray/p/N82E16834132485,3470.0,N/A,Aucune,2025-01-31 00:59:31
Samsung,Galaxy Tab S7,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00861,5839.9,N/A,Aucune,2025-01-31 00:59:39
Samsung,Galaxy Tab A7,32GB,Tablette,Newegg,https://www.newegg.com/p/2WC-001T-00031,1700.0,1524.9,10%,2025-01-31 00:59:39
Apple,iPad Pro,512GB,Tablette,Newegg,https://www.newegg.com/p/24W-0002-016N3,12649.5,N/A,Aucune,2025-01-31 00:59:39
Lenovo,Tab M10,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-00555,2369.9,N/A,Aucune,2025-01-31 00:59:39
Lenovo,Tab M10,32GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-001J-005F4,2833.2,N/A,Aucune,2025-01-31 00:59:39
Samsung,Galaxy Tab A7,64GB,Tablette,Newegg,https://www.newegg.com/p/0EJ-000P-00675,2990.0,N/A,Aucune,2025-01-31 00:59:39
Samsung,Galaxy Tab A7,64GB,Tablette,Newegg,https://www.newegg.com/samsung-a7-galaxy-tab-dark-gray/p/0EJ-000P-00674,3619.9,N/A,Aucune,2025-01-31 00:59:39
